,Mintimes,Mintypes,Errors,Units,Data_group,Ecorr,OC,Weights
362,2459691.13008693,0,1.1307397422e-05,,TESS Sector 50,25216.0,-4.940619692206383e-05,7821223324.5027275
363,2459691.29185659,0,1.2309856533e-05,,TESS Sector 50,25217.0,-5.0191767513751984e-05,6599241431.081758
364,2459691.45363014,0,1.4455427139e-05,,TESS Sector 50,25218.0,-4.70881350338459e-05,4785619242.409316
365,2459693.07132721,0,2.9067209292e-05,,TESS Sector 51,25228.0,-5.4478179663419724e-05,1183568299.6959267
366,2459693.23309766,0,2.9067209292e-05,,TESS Sector 51,25229.0,-5.447445437312126e-05,1183568299.6959267
367,2459697.27739834,0,1.9774175231e-05,,TESS Sector 51,25254.0,-1.4944002032279968e-05,2557426984.1436872
368,2459697.43915269,0,1.7348851942e-05,,TESS Sector 51,25255.0,-3.1040050089359283e-05,3322450494.951664
369,2459697.60091543,0,1.5718137233e-05,,TESS Sector 51,25256.0,-3.874581307172775e-05,4047602426.1568823
370,2459697.76270153,0,1.4878192463e-05,,TESS Sector 51,25257.0,-2.309214323759079e-05,4517515540.076275
371,2459697.92446652,0,1.4067695092e-05,,TESS Sector 51,25258.0,-2.8547830879688263e-05,5053055945.398627
372,2459698.08621261,0,1.2468927401e-05,,TESS Sector 51,25259.0,-5.2904244512319565e-05,6431937377.255403
373,2459698.24798285,0,1.4638035614e-05,,TESS Sector 51,25260.0,-5.3110066801309586e-05,4666963465.452954
374,2459698.40976255,0,1.6411878226e-05,,TESS Sector 51,25261.0,-4.385598003864288e-05,3712645033.048815
375,2459698.57152808,0,1.378985667e-05,,TESS Sector 51,25262.0,-4.8772431910037994e-05,5258725426.3622265
376,2459698.73329119,0,1.3303750503e-05,,TESS Sector 51,25263.0,-5.610799416899681e-05,5650043829.817749
377,2459698.89507483,0,1.3756696181e-05,,TESS Sector 51,25264.0,-4.2914412915706635e-05,5284108276.717968
378,2459699.05684569,0,1.4213360156e-05,,TESS Sector 51,25265.0,-4.2499974370002747e-05,4950014581.383518
379,2459699.2186125,0,1.2396300738e-05,,TESS Sector 51,25266.0,-4.613632336258888e-05,6507524208.282843
380,2459699.38038497,0,1.1853932577e-05,,TESS Sector 51,25267.0,-4.411209374666214e-05,7116641593.598909
381,2459699.54215765,0,1.1358254671e-05,,TESS Sector 51,25268.0,-4.1878316551446915e-05,7751340159.604645
382,2459699.70392313,0,1.2849430941e-05,,TESS Sector 51,25269.0,-4.6844128519296646e-05,6056646280.052248
383,2459699.86567965,0,1.2206131413e-05,,TESS Sector 51,25270.0,-6.0770194977521896e-05,6711875890.65319
384,2459700.02745012,0,1.3980103474e-05,,TESS Sector 51,25271.0,-6.0745980590581894e-05,5116573630.718085
385,2459700.18923114,0,1.2641826567e-05,,TESS Sector 51,25272.0,-5.017220973968506e-05,6257204429.809091
386,2459700.35099103,0,1.1679713881e-05,,TESS Sector 51,25273.0,-6.072781980037689e-05,7330533657.080838
387,2459700.51275842,0,1.0777857696e-05,,TESS Sector 51,25274.0,-6.378442049026489e-05,8608651160.41343
388,2459700.67454,0,1.2718197982e-05,,TESS Sector 51,25275.0,-5.264999344944954e-05,6182282373.524294
389,2459700.83632359,0,1.1054512615e-05,,TESS Sector 51,25276.0,-3.950623795390129e-05,8183155440.371824
390,2459700.99810627,0,1.0224715889e-05,,TESS Sector 51,25277.0,-2.7271918952465057e-05,9565275904.85469
391,2459701.15987689,0,9.363041685e-06,,TESS Sector 51,25278.0,-2.709822729229927e-05,11406859339.385826
392,2459701.32162109,0,9.656988809e-06,,TESS Sector 51,25279.0,-5.334382876753807e-05,10723005870.553698
393,2459701.48339814,0,1.3223137483e-05,,TESS Sector 51,25280.0,-4.674028605222702e-05,5719143231.191827
394,2459701.64517685,0,1.4522527067e-05,,TESS Sector 51,25281.0,-3.847619518637657e-05,4741498427.148712
395,2459701.80693867,0,1.1474558236e-05,,TESS Sector 51,25282.0,-4.7102104872465134e-05,7595004772.908005
396,2459701.96870759,0,1.2328531021e-05,,TESS Sector 51,25283.0,-4.8628076910972595e-05,6579264335.917997
397,2459702.13047379,0,1.2995362682e-05,,TESS Sector 51,25284.0,-5.287397652864456e-05,5921383523.435902
398,2459702.29224769,0,1.6017399334e-05,,TESS Sector 51,25285.0,-4.942016676068306e-05,3897768069.570982
399,2459702.45403002,0,1.4744775149e-05,,TESS Sector 51,25286.0,-3.7536025047302246e-05,4599638407.268938
400,2459702.61578051,0,1.2363362694e-05,,TESS Sector 51,25287.0,-5.749193951487541e-05,6542244639.843062
401,2459702.77755506,0,1.2702373703e-05,,TESS Sector 51,25288.0,-5.3388066589832306e-05,6197695413.721257
402,2459702.93932337,0,1.2660415557e-05,,TESS Sector 51,25289.0,-5.5524054914712906e-05,6238843307.509177
403,2459703.10109155,0,9.773714951e-06,,TESS Sector 51,25290.0,-5.7789962738752365e-05,10468408526.716616
404,2459703.26286967,0,7.860891286e-06,,TESS Sector 51,25291.0,-5.011586472392082e-05,16182902580.119816
405,2459703.42462563,0,1.0424320312e-05,,TESS Sector 51,25292.0,-6.460212171077728e-05,9202472000.25561
406,2459703.58640521,0,1.4701979655e-05,,TESS Sector 51,25293.0,-5.546770989894867e-05,4626455243.566394
407,2459703.74818953,0,1.4280252559e-05,,TESS Sector 51,25294.0,-4.1594263166189194e-05,4903748894.309782
408,2459703.90994698,0,1.1539082014e-05,,TESS Sector 51,25295.0,-5.459040403366089e-05,7510303363.076196
409,2459704.07172256,0,1.359758189e-05,,TESS Sector 51,25296.0,-4.9456022679805756e-05,5408497509.056699
410,2459704.23349259,0,1.4693297066e-05,,TESS Sector 51,25297.0,-4.9872323870658875e-05,4631924605.245327
411,2459704.39525779,0,1.5641333106e-05,,TESS Sector 51,25298.0,-5.511799827218056e-05,4087450156.823346
412,2459704.55702088,0,1.8339398042e-05,,TESS Sector 51,25299.0,-6.247451528906822e-05,2973239177.545516
413,2459710.38079554,0,1.5654785209e-05,,TESS Sector 51,25335.0,-2.3870263248682022e-05,4080428511.2806754
414,2459710.54256174,0,1.4313853181e-05,,TESS Sector 51,25336.0,-2.811616286635399e-05,4880753601.584624
415,2459710.70432624,0,1.5492869277e-05,,TESS Sector 51,25337.0,-3.406219184398651e-05,4166163282.4505982
416,2459710.866091,0,1.7398020939e-05,,TESS Sector 51,25338.0,-3.9748381823301315e-05,3303697704.754667
417,2459711.02786097,0,1.4769799308e-05,,TESS Sector 51,25339.0,-4.0224287658929825e-05,4584065470.503328
418,2459711.18962841,0,1.4029123355e-05,,TESS Sector 51,25340.0,-4.323013126850128e-05,5080879933.625044
419,2459711.35138414,0,1.5131884581e-05,,TESS Sector 51,25341.0,-5.794595927000046e-05,4367309395.230688
420,2459711.51315485,0,1.3378481415e-05,,TESS Sector 51,25342.0,-5.768239498138428e-05,5587098920.16871
421,2459711.67492914,0,1.352653213e-05,,TESS Sector 51,25343.0,-5.383789539337158e-05,5465464315.513084
422,2459711.83669281,0,1.349775246e-05,,TESS Sector 51,25344.0,-6.0614198446273804e-05,5488795896.068923
423,2459711.99845915,0,1.1748810155e-05,,TESS Sector 51,25345.0,-6.471993401646614e-05,7244563567.771813
