minimum_time,minimum_time_error,mt,www,labels,Units
56055.1994,,1,,CCD,BJD
56356.4703,,1,,CCD,HJD
56356.6574,0.000590795,0,,CCD,BJD
56384.4471,0.009880245,0,,CCD,BJD
56387.4123,0.002301846,0,,CCD,BJD
56387.5998,0.005649355,1,,CCD,BJD
56397.7891,0.009364936,0,,CCD,BJD
56398.3444,0.005238089,1,,CCD,BJD
56400.5695,0.001857777,1,,CCD,BJD
56401.4951,0.008536059,0,,CCD,BJD
56418.3614,0.002541537,1,,CCD,BJD
56418.5387,0.000173386,0,,CCD,BJD
56427.4359,0.007422433,0,,CCD,BJD
56427.4359,0.009101664,0,,CCD,BJD
56427.4367,0.002613037,0,,CCD,BJD
56448.3711,0.003631442,1,,CCD,BJD
56455.4125,0.008009209,1,,CCD,BJD
56459.4911,0.004469248,1,,CCD,BJD
56666.6369,0.001607285,1,,CCD,BJD
56679.6067,0.00877264,1,,CCD,BJD
56680.5324,0.007538258,0,,CCD,BJD
56687.5726,0.009625217,0,,CCD,BJD
56699.6181,0.004927751,1,,CCD,BJD
56701.6554,0.000402875,0,,CCD,BJD
56707.5837,0.007220198,0,,CCD,BJD
57029.6075,0.007397941,0,,CCD,BJD
57067.5918,0.002240229,1,,CCD,BJD
57119.4699,0.001261907,1,,CCD,BJD
57128.3624,0.006837415,1,,CCD,BJD
57128.5489,0.003376445,0,,CCD,BJD
57153.7457,0.0028769,0,,CCD,BJD
57153.7457,0.009413132,0,,CCD,BJD
57409.624,0.005267319,1,,CCD,BJD
57409.6242,0.007322351,1,,CCD,BJD
57409.6242,0.000481436,1,,CCD,BJD
57409.6245,0.005837353,1,,CCD,BJD
57410.5486,0.009190506,0,,CCD,BJD
57489.4823,0.006737703,0,,CCD,BJD
57515.4201,0.009783509,0,,CCD,BJD
57516.3493,0.005829895,1,,CCD,BJD
57516.5324,0.000339324,0,,CCD,BJD
57568.4125,0.00792833,0,,CCD,BJD
57825.5884,0.001447179,0,,CCD,BJD
57828.5512,0.00586272,0,,CCD,BJD
57843.3748,0.001172262,0,,CCD,BJD
57843.5593,0.005846613,1,,CCD,BJD
57846.525,0.007158349,1,,CCD,BJD
57876.7248,0.001720693,0,,CCD,BJD
58244.6952,0.005465224,0,,CCD,BJD
58599.7012,0.009613149,0,,CCD,BJD
58618.427,0.000833587,1,,CCD,BJD
58944.5259,0.006039811,1,,CCD,HJD
