Mintimes,Mintypes,Errors,Ecorr,O-C,Data Group,Units,RA
2455294.599700,0,0.001,BAVM 214 ,,ccd,BJD,
2455310.536100,0,0.001,BAVM 214 ,,ccd,BJD,
2455342.400500,0,0.001,OEJV 0137 ,,ccd,BJD,
2455352.781000,0,0.001,IBVS 5945 ,,ccd,BJD,
2455385.388595,0,0.001,OEJV 0137 ,,ccd,BJD,
2455632.933000,0,0.001,IBVS 5992 ,,ccd,BJD,
2455682.403300,1,0.001,BAVM 225 ,,ccd,BJD,
2455687.775700,0,0.001,IBVS 5992 ,,ccd,BJD,
2455704.454414,0,0.001,OEJV 0160 ,,ccd,BJD,
2455979.601000,1,0.001,OEJV 0147 ,,ccd,BJD,
2455998.871600,1,0.001,IBVS 6029 ,,ccd,BJD,
2456051.679500,0,0.001,IBVS 6029 ,,ccd,BJD,
2456055.012500,0,0.001,VSB 55 ,,ccd,BJD,
2456055.199400,1,0.001,VSB 55 ,,ccd,BJD,
2456356.470300,1,0.001,BAVM 232 ,,ccd,BJD,
2456356.657400,0,0.001,BAVM 232 ,,ccd,BJD,
2456384.447100,0,0.001,IBVS 6191 ,,ccd,BJD,
2456387.412300,0,0.001,IBVS 6191 ,,ccd,BJD,
2456387.599800,1,0.001,IBVS 6191 ,,ccd,BJD,
2456397.789100,0,0.001,IBVS 6092 ,,ccd,BJD,
2456398.335390,1,0.001,OEJV 0160 ,,ccd,BJD,
2456398.344400,1,0.001,OEJV 0165,,ccd,BJD,
2456400.569500,1,0.001,BAVM 232 ,,ccd,BJD,
2456401.495100,0,0.001,IBVS 6167 ,,ccd,BJD,
2456418.361400,1,0.001,BAVM 232 ,,ccd,BJD,
2456418.538700,0,0.001,BAVM 232 ,,ccd,BJD,
2456427.436033,0,0.001,OEJV 0160 ,,ccd,BJD,
2456448.371100,1,0.001,IBVS 6191 ,,ccd,BJD,
2456455.390310,1,0.001,OEJV 0160 ,,ccd,BJD,
2456455.412460,1,0.001,OEJV 0160 ,,ccd,BJD,
2456459.491090,1,0.001,OEJV 0160 ,,ccd,BJD,
2456666.636900,1,0.001,IBVS 6165 ,,ccd,BJD,
